creator_id,creator_name,category,platform,followers,avg_view_count,engagement_rate,total_campaign_count,total_campaign_budget_krw,avg_campaign_budget_krw,advertiser_rating
C0035,유나그램35,교육,인스타그램,24545,10041,7.5,13,19417315,1540000,4.8
C0036,지수챌린지36,패션,유튜브,82889,17614,8.1,0,0,0,
C0037,민석스토리37,테크,인스타그램,81162,32382,6.7,28,41370878,1500000,4.9
C0038,태호스타일38,피트니스,인스타그램,4269,1562,7.0,3,725151,270000,4.2
C0039,민준튜브39,라이프스타일,인스타그램,10633,2771,7.2,19,31872211,1960000,4.6
C0040,준그램40,뷰티,인스타그램,256559,140367,6.8,24,172126554,6580000,4.8
C0041,지우노트41,뷰티,인스타그램,13958,5547,6.4,5,9092133,1800000,4.1
C0042,현우스토리42,식품,유튜브,32786,8330,6.5,15,16979815,1190000,4.6
C0043,하은뷰티43,테크,유튜브,11837,1415,6.6,0,0,0,
C0044,신동일상44,피트니스,유튜브,96439,9062,7.2,7,10979937,1480000,4.2
C0045,민석TV45,패션,유튜브,156674,46538,6.5,13,78466849,5330000,4.6
C0046,현우브이로그46,교육,인스타그램,89177,37508,6.6,17,30113918,1860000,4.9
C0047,채원그램47,라이프스타일,유튜브,433229,135591,3.0,17,75114223,4270000,5.0
C0048,예린매거진48,아웃도어,인스타그램,145436,36918,7.1,22,108366727,5180000,4.1
C0049,예린스페이스49,테크,유튜브,7232,1526,8.0,1,533176,470000,4.9
C0050,신동브이로그50,테크,유튜브,79332,11327,6.2,8,9568594,1140000,4.7
C0051,소라리뷰51,라이프스타일,인스타그램,388562,123049,3.7,4,13678740,3620000,4.4
C0052,집사TALK52,테크,유튜브,12659,4415,6.7,0,0,0,
C0053,정은채널53,아웃도어,유튜브,3231,679,6.1,0,0,0,
C0054,소민튜브54,식품,인스타그램,400974,104400,3.8,9,47827792,6010000,3.4
C0055,민석TV55,식품,인스타그램,22026,5507,8.7,0,0,0,
C0056,나윤TV56,교육,인스타그램,96057,23392,6.6,28,55561134,1730000,4.2
C0057,도윤로그57,피트니스,유튜브,4330,426,6.2,0,0,0,
C0058,수아리뷰58,여행,인스타그램,7720,3747,7.3,30,11080753,340000,4.9
C0059,커버리지로그59,식품,인스타그램,99886,17991,5.6,0,0,0,
C0060,건우스토리60,테크,인스타그램,14283,3652,6.7,15,10345580,670000,4.9
C0061,소라브이로그61,식품,유튜브,14047,4488,8.7,22,24078456,1070000,4.0
C0062,현우브이로그62,여행,인스타그램,12590,4853,8.8,14,15898133,1200000,4.6
C0063,지우클립63,라이프스타일,인스타그램,87102,10798,6.1,0,0,0,
C0064,다현채널64,게임,유튜브,22104,2648,8.1,25,13893778,610000,4.5
C0065,브로챌린지65,테크,인스타그램,354128,90282,5.0,6,28081862,4610000,4.2
C0066,서연리뷰66,패션,유튜브,53254,10003,8.1,8,11859632,1460000,4.3
C0067,커버리지노트67,식품,유튜브,9798,1973,6.7,0,0,0,
C0068,현우푸드로그68,패션,인스타그램,10935,3247,7.5,11,11327900,900000,4.4
C0069,수아매거진69,테크,인스타그램,64968,21720,7.9,16,8239469,580000,4.8
C0070,지우스타일70,테크,유튜브,10486,693,8.5,3,4814991,1480000,4.3
C0071,정은다이어리71,게임,인스타그램,8188,4043,7.4,20,4418069,240000,5.0
C0072,신동그램72,라이프스타일,유튜브,498652,153209,3.3,29,56112271,2240000,4.5
C0073,예린노트73,피트니스,유튜브,89177,19029,5.8,13,24685604,1800000,4.1
C0074,수아TALK74,피트니스,유튜브,48289,10841,8.3,10,19468405,1920000,5.0
C0075,정은뷰티75,여행,인스타그램,54599,11673,7.0,19,24283035,1250000,4.8
C0076,하나리뷰76,여행,인스타그램,14236,8433,8.6,27,32156852,1100000,4.5
C0077,정은매거진77,패션,인스타그램,97242,35172,6.5,24,16418189,780000,5.0
C0078,정은매거진78,패션,인스타그램,11837,5448,7.4,6,7015099,1040000,5.0
C0079,지우뷰티79,테크,유튜브,173797,41177,6.6,13,83343171,6680000,4.0
C0080,다현매거진80,게임,인스타그램,9038,4179,7.7,12,3283647,260000,3.9
C0081,하은TALK81,식품,유튜브,75852,21761,6.6,0,0,0,
C0082,영희그램82,식품,인스타그램,11807,2344,7.9,18,25490860,1380000,4.5
C0083,준영푸드로그83,테크,유튜브,51666,4233,6.9,28,31039569,1260000,4.2
C0084,다은다이어리84,여행,인스타그램,5001,3163,6.2,21,3815415,210000,3.9
C0085,지수스페이스85,교육,유튜브,12080,1362,8.5,5,7444943,1750000,4.5
C0086,지수그램86,패션,인스타그램,3422,634,8.3,1,269586,290000,4.2
C0087,규호브이로그87,식품,유튜브,62453,10448,7.0,2,3784196,1880000,3.4
C0088,나윤노트88,라이프스타일,인스타그램,79260,33307,8.1,5,2841143,640000,4.7
C0089,하나그램89,라이프스타일,인스타그램,378164,101669,4.3,4,28234352,6620000,4.5
C0090,소민스타일90,테크,인스타그램,14953,2688,7.9,5,10930886,1940000,4.8
C0091,은서푸드로그91,식품,유튜브,9105,2816,7.7,11,2783473,260000,5.0
C0092,신동TV92,교육,인스타그램,4697,1481,7.9,4,1677490,380000,3.7
C0093,준뷰티93,교육,인스타그램,10030,6289,8.4,21,30085716,1670000,5.0
C0094,지우스타일94,여행,유튜브,55499,16617,6.1,0,0,0,
C0095,민준로그95,뷰티,유튜브,11691,1536,6.9,24,30671995,1180000,4.1
C0096,준영그램96,뷰티,유튜브,13122,918,7.2,20,27863696,1430000,4.5
C0097,커버리지리뷰97,여행,유튜브,92743,21571,5.4,20,10398134,610000,4.9
C0098,소민튜브98,여행,유튜브,4965,467,6.5,23,7360579,320000,4.8
C0099,철수매거진99,라이프스타일,유튜브,4275,1397,7.7,14,4334304,350000,3.8
C0100,다은일상100,교육,유튜브,62428,7819,6.2,17,10869150,660000,4.3
C0101,민석TV101,게임,유튜브,84547,22887,6.4,27,54670829,1850000,4.7
C0102,민준로그102,여행,유튜브,12869,1803,6.1,21,31990272,1540000,3.9
C0103,채원챌린지103,아웃도어,인스타그램,4118,1499,8.4,12,4919530,470000,4.2
C0104,하은챌린지104,뷰티,유튜브,7703,945,8.5,17,6723931,400000,3.7
C0105,소라푸드로그105,아웃도어,유튜브,80715,7183,5.7,11,19256572,2000000,4.2
C0106,다은스타일106,테크,유튜브,374762,65906,4.1,14,71396632,4840000,4.9
C0107,수아채널107,식품,인스타그램,65667,19637,7.4,28,21812197,820000,4.6
C0108,다현튜브108,여행,인스타그램,466204,150348,4.4,0,0,0,
C0109,커버리지일상109,패션,인스타그램,83995,17348,6.9,0,0,0,
C0110,하윤푸드로그110,아웃도어,유튜브,354946,60834,3.6,26,74270942,2850000,3.8
C0111,하은그램111,교육,인스타그램,9172,1569,8.0,29,8968044,290000,4.2
C0112,민준챌린지112,피트니스,인스타그램,420127,127439,4.0,10,66486703,5930000,4.6
C0113,서준라이프113,여행,인스타그램,80916,37381,7.8,5,4414835,1020000,5.0
C0114,준영뷰티114,게임,유튜브,249455,20386,5.4,27,134338629,5670000,5.0
C0115,유나매거진115,뷰티,인스타그램,9126,2891,7.1,0,0,0,
C0116,태호채널116,패션,유튜브,10740,2254,8.0,1,573319,670000,4.0
C0117,철수클립117,식품,인스타그램,46147,9094,6.9,15,8346782,630000,4.8
C0118,소민클립118,패션,유튜브,3025,628,7.2,3,1610778,470000,4.1
C0119,소민라이프119,라이프스타일,유튜브,122824,39826,5.8,0,0,0,
C0120,지수스타일120,식품,유튜브,58583,6194,6.5,27,51824084,1940000,4.2
C0121,하은리뷰121,뷰티,인스타그램,3717,2135,6.9,13,6190204,480000,3.9
C0122,소라브이로그122,아웃도어,인스타그램,125063,55811,5.4,29,166785924,5360000,4.7
C0123,라이프TV123,아웃도어,인스타그램,372250,71622,4.3,27,96062882,3510000,4.2
C0124,은서스토리124,아웃도어,유튜브,55173,12500,6.1,15,9452192,590000,4.9
C0125,도윤푸드로그125,식품,유튜브,68242,14349,7.5,5,9322825,1770000,4.1
C0126,민준채널126,식품,유튜브,13570,2257,7.6,22,35945618,1440000,3.9
C0127,수진챌린지127,라이프스타일,인스타그램,7566,1451,8.1,13,5639541,490000,4.9
C0128,라이프라이프128,교육,유튜브,11047,1157,6.1,23,37796488,1430000,4.8
C0129,브로리뷰129,게임,유튜브,54315,18969,8.3,26,32846051,1260000,3.4
C0130,서준클립130,피트니스,유튜브,18445,3414,7.3,5,9925938,1780000,4.8
C0131,다현노트131,라이프스타일,인스타그램,24666,4394,6.0,17,18427497,1220000,4.6
C0132,재현스토리132,패션,유튜브,3907,1202,6.9,30,9156546,320000,5.0
C0133,나윤로그133,게임,유튜브,13240,2184,7.4,19,14043191,820000,4.1
C0134,지호TALK134,교육,인스타그램,3464,802,8.3,7,3412416,500000,4.1
C0135,다은로그135,테크,인스타그램,14222,4319,8.0,14,21052998,1520000,4.0
C0136,신동클립136,아웃도어,유튜브,267413,90509,6.8,0,0,0,
C0137,라이프노트137,아웃도어,유튜브,5007,646,6.3,13,5047666,420000,4.6
C0138,민석리뷰138,피트니스,인스타그램,80308,43163,8.0,3,3966468,1320000,4.2
C0139,지우라이프139,뷰티,인스타그램,11108,5209,7.9,1,714873,730000,4.9
C0140,나윤로그140,라이프스타일,유튜브,12204,1669,6.1,25,38524043,1650000,4.0
C0141,하은채널141,패션,유튜브,306518,71590,5.2,5,18914058,3670000,4.3
C0142,커버리지노트142,테크,인스타그램,34521,13675,6.7,6,9085702,1320000,4.5
C0143,다은TV143,게임,인스타그램,84774,30433,6.7,0,0,0,
C0144,탐방기클립144,교육,인스타그램,14883,8000,7.7,21,36746355,1710000,4.3
C0145,라이프그램145,패션,인스타그램,46745,9646,6.0,0,0,0,
C0146,하윤리뷰146,라이프스타일,유튜브,68788,15814,6.9,24,16053396,630000,3.9
C0147,집사다이어리147,테크,인스타그램,56124,29172,7.2,22,44285471,1930000,4.2
C0148,준TALK148,게임,인스타그램,7876,4054,8.0,16,6190329,380000,3.9
C0149,도윤스토리149,교육,유튜브,64767,19526,6.5,5,4787540,1110000,4.6
C0150,수아다이어리150,피트니스,인스타그램,11824,3169,6.7,0,0,0,
C0151,지수뷰티151,뷰티,유튜브,84604,10012,5.6,16,11977502,710000,4.4
C0152,지호푸드로그152,라이프스타일,유튜브,77350,13245,8.3,21,14613401,620000,4.8
C0153,민지TALK153,라이프스타일,유튜브,192163,46071,7.0,6,29584150,4430000,4.7
C0154,채원스토리154,아웃도어,유튜브,13507,3050,8.7,15,14570886,1070000,4.6
C0155,시우매거진155,뷰티,유튜브,53669,14453,6.1,29,42990495,1350000,4.6
C0156,서연다이어리156,라이프스타일,유튜브,39219,13349,8.5,0,0,0,
C0157,시우TALK157,여행,인스타그램,258306,103252,4.7,8,21174770,2520000,4.2
C0158,다현브이로그158,여행,유튜브,6618,718,6.4,20,7798029,400000,4.5
C0159,집사노트159,피트니스,유튜브,93094,22019,6.6,3,4453659,1680000,4.8
C0160,규호챌린지160,패션,유튜브,11525,2545,8.1,29,44785348,1570000,3.6
C0161,하은그램161,게임,유튜브,12239,1143,8.3,13,14661192,1030000,4.4
C0162,현우일상162,식품,인스타그램,22897,8892,8.6,0,0,0,
C0163,지호채널163,라이프스타일,유튜브,9266,2329,7.1,0,0,0,
C0164,채원스페이스164,식품,인스타그램,11802,2815,8.8,25,15723774,550000,3.9
C0165,철수다이어리165,게임,인스타그램,6762,1528,6.8,24,5364310,260000,4.1
C0166,지호리뷰166,식품,유튜브,3550,785,8.6,2,804984,410000,3.9
C0167,하윤다이어리167,패션,유튜브,52914,9471,7.3,25,52310829,1910000,4.5
C0168,준영튜브168,여행,인스타그램,12121,7878,8.6,14,23349284,1670000,5.0
C0169,현우스페이스169,라이프스타일,인스타그램,7913,2741,7.4,10,3056851,280000,4.8
C0170,서연로그170,라이프스타일,유튜브,6331,800,7.3,18,4673489,300000,4.1
C0171,브로브이로그171,식품,유튜브,12626,3602,7.3,11,14259308,1140000,5.0
C0172,수진라이프172,교육,유튜브,66987,22595,7.8,18,32066402,1860000,4.5
C0173,수진스페이스173,테크,인스타그램,14836,6033,8.6,14,8557562,600000,4.4
C0174,예린브이로그174,여행,인스타그램,8404,2118,6.7,22,7751375,380000,4.6
C0175,소민푸드로그175,패션,인스타그램,61160,15074,7.0,18,37867796,1850000,3.6
C0176,나윤브이로그176,라이프스타일,유튜브,13333,2135,5.9,12,7827250,630000,4.3
C0177,소라TV177,뷰티,인스타그램,12038,2688,8.1,10,5403589,540000,4.3
C0178,채원노트178,게임,유튜브,6144,1293,7.0,3,1365347,400000,4.0
C0179,서연튜브179,피트니스,유튜브,4320,1346,8.2,0,0,0,
C0180,민준브이로그180,뷰티,인스타그램,37463,8279,7.6,28,21921372,700000,4.7
C0181,라이프뷰티181,뷰티,인스타그램,458837,295892,4.0,0,0,0,
C0182,지호매거진182,교육,유튜브,14677,5566,6.8,19,26412011,1320000,4.3
C0183,지우매거진183,패션,인스타그램,25279,11375,6.0,27,16967808,660000,4.5
C0184,재현로그184,여행,유튜브,74054,14372,8.2,22,39894551,1730000,3.4
C0185,도윤라이프185,피트니스,인스타그램,25752,6146,8.1,13,14449807,1160000,5.0
C0186,재현라이프186,식품,인스타그램,6070,2023,7.5,0,0,0,
C0187,민석노트187,교육,유튜브,57523,12744,6.8,24,44952215,1670000,4.9
C0188,민석브이로그188,라이프스타일,유튜브,7405,1189,6.1,14,5016157,360000,4.7
C0189,은서로그189,테크,유튜브,7991,612,8.5,28,10174212,370000,4.5
C0190,라이프튜브190,여행,유튜브,14391,1716,8.8,10,20381466,1960000,5.0
C0191,태호챌린지191,라이프스타일,인스타그램,12238,3653,6.4,1,1665351,1470000,4.3
C0192,건우브이로그192,식품,인스타그램,68627,22539,6.4,5,9769383,2000000,4.1
C0193,재현TV193,게임,인스타그램,69827,30134,6.5,18,32805804,1750000,4.7
C0194,수진다이어리194,아웃도어,유튜브,13038,1546,7.9,25,34191450,1200000,4.3
C0195,현우스타일195,테크,유튜브,10586,3216,7.4,1,1330860,1510000,4.4
C0196,브로뷰티196,패션,유튜브,8620,1441,7.4,15,6241440,440000,4.2
C0197,채원다이어리197,식품,인스타그램,36542,21826,7.3,11,17964221,1670000,5.0
C0198,소민노트198,패션,인스타그램,13769,3189,7.7,19,25712909,1400000,4.3
C0199,나윤튜브199,게임,유튜브,8340,853,7.9,21,7779929,360000,4.1
C0200,커버리지TV200,아웃도어,유튜브,10501,3078,8.0,20,30464810,1740000,4.5
